key	en	vi	cs
misc_upload_photos	upload photos	tải lên ảnh	nahrát fotky
misc_upload_signed_documents	Uploading signed documents	Tải lên tài liệu đã ký	Nahrávání podepsaných dokumentů
misc_upload_unsigned_form	Upload unsigned form	Tải lên mẫu đơn chưa ký	Nahrát nepodepsaný dokument
misc_url_already_added	This URL has already been added	URL này đã được thêm vào	Tento URL již byl přidán
misc_user	User	Nhân viên	Uživatel
misc_user_has_zero_provision	user has zero provision	người dùng có hoa hồng bằng 0	uživatel má nulovou provizi
misc_user_support	user support	hỗ trợ khách hàng	uživatelská podpora
misc_username	Username	Tên đăng nhập	Přihlašovací jméno
misc_users	Users	Người dùng	Uživatele
misc_valid	valid	hợp lệ 	validní
misc_vin	VIN	DIČ	DIČ
misc_website	website	trang web	webová stránka
misc_working_at	working at	làm việc tại	pracuje v
misc_working_employees	working employees	nhân viện làm việc	pracující zaměstnanci
misc_working_hour	working hour	thời gian làm việc	pracovní doba
misc_working_hours	working hours	thời gian làm việc	pracovní doba
misc_workplace	workplace	nơi làm việc	pracoviště
misc_workplaces	workplaces	nơi làm việc	pracoviště
misc_year	year	năm	rok
misc_yes	yes	có	ano
misc_you_must_register_device	you must register your device	bạn phải đăng ký thiết bị này	musíte registrovat toto zařízení
misc_you_will_not_see_workplace_until_add_again	you will not see the workplaces until you add URL again	bạn sẽ không nhìn thấy nơi làm việc cho đến khi bạn thêm lại URL	neuvidíte pracoviště, dokud znovu nepřidáte URL
msg_accept_agreements	Accept agreements	Đồng ý với điều khoản sử dụng	Souhlasíte s podmínky
msg_actual_phase	Actual phase	Quá trình hiện tại	Aktuální fáze
msg_added	Added	Đã thêm	Přidáno
msg_cancelled	Cancelled	Đã huỷ	Zrušeno
msg_check_merchant_explanation	You import a list of TINs with provider and then select the providers you expect to be checked. The system will compare the entries with INSTALLED status and display the merchants that were expected to be in selected providers but are not listed. 	Bạn nhập danh sách IČ với các nhà cung cấp rồi chọn nhà cung cấp mà bạn muốn được kiểm tra. Hệ thống sẽ so sánh các mục nhập với tình trạng ĐÃ LẮP ĐẶT và hiển thị những người bán dự kiến ​​sẽ có mặt trong các nhà cung cấp được chọn nhưng không được liệt kê.	Naimportujete seznam IČ s poskytovatelem a poté vyberete poskytovatele, u kterých očekáváte kontrolu. Systém porovná záznamy se statusy INSTALOVÁNO a zobrazí obchodníky, kteří měli být u vybraných poskytovatelů, ale nejsou v seznamu uvedeni.
msg_confirmed	Confirmed	Đã xác nhận	Potvrzeno
msg_control_typed_field	Check filled fields	Kiểm tra ô đã điền	Zkontrolujte vyplněné údaje!
msg_do_not_have_account	Don't have an account	Bạn chưa có tài khoản	Nemáte účet
msg_email_registered	Email is registered	Email đã được đăng ký	Email je již používán
msg_finished	Finished	Đã hoàn thành	Dokončeno
msg_from	From	Từ	Od
msg_have_forgotten_password	Don't remember password	Bạn đã quên mật khẩu	Zapoměl(a) jste heslo
msg_ico_registered	IČO is registered	IČO đã được đăng ký	IČO je již registrováno
msg_is_deactive	Deactive	Không kích hoạt	Neaktivní
msg_make_sure_image_not_blur_and_centered	make sure the photo is centered and not blurry	hãy chắc chắn là ảnh nằm ngay giữa và không mờ	ujistěte se, že fotka je vycentrovaná a není rozmazaná 
msg_must_add_email	you must add email	bạn phải nhập email	musíte zadat email
msg_must_add_unsigned_form	You must upload unsigned form	Bạn chưa tải lên mẫu đơn chưa ký	Musíte nahrát nepodepsaný formulář
msg_not_decided	Undecided	Chưa quyết định	Nerozhodnuto
msg_number_short	num.	số	č.
msg_only_send_when_no_bank_or_terminal_choosed	Only send this E-mail if customer did not apply a bank account or terminal details	Chỉ gửi E-mail này khi khách hàng chưa thêm tài khoản ngân hàng hoặc chưa chọn máy trả thẻ 	Tento E-mail posílejte jen v případě, že zákazník nezadal bankovní účet nebo nevybral si terminál
msg_or	or	hoặc	nebo
msg_password_change_success	Password successfully changed	Mật khẩu đã đổi thành công	Heslo úspěšně změněno
msg_please_choose_item	Please choose an item	Hãy chọn một món	Vyberte si položku
msg_really_want_to_add	Do you really want to add	Bạn thật sự muốn thêm	Opravdu chcete přidat
msg_really_want_to_change	Do you really want to change	Bạn thật sự muốn đổi	Opravdu chcete změnit
msg_really_want_to_change_status	Do you really want to change status	Bạn thật sự muốn đổi trạng thái	Opravdu chcete přepnout status
msg_really_want_to_confirm	Do you really want to confirm	Bạn thật sự muốn xác nhận	Opravdu chcete potvrdit
msg_really_want_to_delete	Do you really want to delete	Bạn thật sự muốn xoá	Opravdu chcete smazat
msg_really_want_to_remove	Do you really want to remove	Bạn thật sự muốn huỷ	Opravdu chcete odstranit
msg_really_want_to_send	Do you really want to send	Bạn thật sự muốn gửi	Opravdu chcete poslat
msg_registration_form	Registration form	Đơn đăng ký	Registrační formulář
msg_request_sent	Request sent	Yêu cầu đã được gửi	Požadavek poslán
msg_select_template	select template	hãy chọn mẫu	vyberte šablonu
msg_take_back_side_of_document	take a photo of the back of the document	chụp mặt sau của thẻ căn cước	vyfoťte zadní stranu dokladu
msg_take_front_side_of_document	take a photo of the front of the document	chụp mặt trước của thẻ căn cước	vyfoťte přední stranu dokladu
msg_to	To	Đến	Do
msg_to_check_email	Check your email	Hãy kiểm tra email	Zkontrolujte email
msg_to_refresh_page	Refresh page	Tải lại trang	Obnovte stránku
msg_update_successfully	Update successfully	Cập nhập thành công	Úspěšně aktualizováno
msg_vin_required_for_taxpayer	VIN is required for taxpayer	Số thuế VIN là bắt buộc cho người trả thuế	DIČ je povinné pro plátce DPH
msg_welcome	Welcome to	Chào mừng bạn đến	Vítáme Vás v
msg_you_can_not_revert	Once changed, you can not revert	Một khi đã đổi, bạn không thể chuyển lại	Jakmile přepnete, nemůžete znovu přepnout
srv_already_checked_out	already checked out	bạn đã check out	odchod byl již zaznamenán
srv_already_confirmed	Already confirmed	Đã xác nhận	Již potvrzeno
srv_already_sent	Already sent	Đã gửi	
srv_ares_failed	ARES failed	ARES không thành công	ARES selhalo
srv_assigned_form_not_found	Assigned form not found	Không tìm thấy biểu mẫu được chỉ định	Přidělený formulář nenalezen
srv_attendance_not_found	attendance not found	Không tìm thấy dữ liệu điểm danh	Docházka nenalezena
srv_bank_not_found	Bank not found	Không tìm thấy ngân hàng	Banku nelze nalézt
srv_bank_updated	bank updated	đã cập nhập ngân hàng	banka aktualizována
srv_bill_confirmed	bill confirmed	hoá đơn đã được xác nhận	faktura potvrzena
srv_bill_deleted	Bill deleted	Hóa đơn đã bị xóa	Faktura smazána
srv_bill_not_found	Bill not found	Không tìm thấy hóa đơn	Faktura nenalezena
srv_bill_sent	Bill sent	Đã gửi hóa đơn	Faktura odeslána
srv_bill_updated	Bill updated	Hóa đơn đã cập nhật	Faktura aktualizována
srv_can_not_after_today	Cannot be after today	Không thể sau hôm nay	Nemůže být po dnešním dni
srv_can_not_self_reference	Cannot make self reference	Không được tạo liên kết lên cùng đơn	Nelze vytvořit odkaz na sebe
srv_checked_in_successfully	checked in successfully	đã check in thành công	příchod úspěšný
srv_checked_ou_successfully	check out successfully	check out thành công	odchod úspěšně zaznamenán
srv_checked_out_successfully	checked out successfully	đã check out thành công	odchod úspěšný
srv_close_time_before_open_time	close time is before open time	thời gian kết thúc trước thời gian bắt đầu	čas ukončení je před časem otevření
srv_control_typed_field	check fields	kiểm tra ô điền	zkontrolujte políčka
srv_created	created	đã được tạo	vytvořeno
srv_device_already_registered	device already registered	thiết bị đã được đăng ký	zařízení je již registrováno
srv_device_not_found	device not found	không tìm thấy thiết bị	zařízení nenalezeno
srv_documents_generate_failed	Generate documents failed	Tạo đơn thất bại	Generování dokumentů selhalo
srv_documents_generated	Documents generated	Đơn đã tạo	Documenty byly vygenerovány
srv_draft_saved	Draft saved	Bản nháp đã được lưu	Koncept uložen
srv_duplicate	already exists	đã tồn tại	již existuje
srv_email_exists	E-mail exists	E-mail tồn tại	E-mail existuje
srv_employee_exists	employee exists	nhân viên đã tồn tại	zaměstnanec již existuje
srv_employee_not_employed	you are not employed for this workplace	bạn không được chỉ định làm việc tại đây	nejste zaměstnán na tomto pracovišti
srv_employee_not_found	employee not found	không tìm thấy nhân viên	zaměstnanec nenalezen
srv_empty_name	Empty name	Tên trống	Prázdné jméno
srv_empty_purchaser	Empty purchaser	Người mua trống	Prázdný kupující
srv_empty_supplier	Empty supplier	Nhà cung cấp trống	Prázdný dodavatel
srv_error	chyba serveru	lỗi serveru	chyba serveru
srv_exposure_is_after_expiration	Exposure date is after expiration date	Ngày hiệu lực sau ngày hết hạn	Datum vystavení je po datumu expirace
srv_failed_to_add	failed to add	thêm mới bị lỗi 	chyba přidání
srv_failed_to_authorize	Failed to authorize	Ủy quyền không thành công	Autorizace se nezdařila
srv_failed_to_create	failed to create	tạo không thành công	založení selhalo
srv_failed_to_create_pdf	Failed to create PDF	Tạo PDF không thành công	
srv_failed_to_delete	failed to delete	xoá không thành công	smazání selhalo
srv_failed_to_get_terminals	Failed to get terminals	Lấy thiết bị thanh toán không thành công	Získání terminálů se nezdařilo
srv_failed_to_load	failed to load	lỗi tải trang	chyba načítání
srv_failed_to_load_from_ares	failed to load data from ARES	tải dữ liệu từ ares không thành công	stažení dat z ARES selhalo
srv_failed_to_load_transaction	Failed to load transaction	Tải dữ liệu đơn hàng thất bại	Načítání transakce selhala
srv_failed_to_login	Failed to login	Đăng nhập không thành công	Přihlášení se nezdařilo
srv_failed_to_make_attendance	failed to make attendance	điểm danh thất bại	neúspěšné zaznamenání docházky
srv_failed_to_submit	failed to submit	gửi không thành công	odeslání selhalo
srv_failed_to_update	failed to update	cập nhập không thành công	aktualizace selhala
srv_failed_to_upload	failed to upload	tải lên không thành công	nahrávání selhalo
srv_failed_update_daily_attendance	failed to update attendance	cập nhập điểm danh thất bại	aktualizace docházky selhala
srv_file_extension_not_allowed	File extension is not allowed	Đuôi của tệp không được cho phép	Přípona souboru není povolena
srv_file_uploaded	Files uploaded successfully	Tệp đã được tải lên thành công	Soubory úspěšně nahrány
srv_forbidden	Forbidden	Cấm	Zakázáno
srv_form_deleted	Form deleted	Biểu mẫu đã bị xóa	Formulář smazán
srv_form_draft_not_found	Form draft not found	Không tìm thấy bản nháp biểu mẫu	Koncept formuláře nenalezen
srv_form_not_found	Form not found	Không tìm thấy biểu mẫu	Formulář nenalezen
srv_form_reference_added	Form reference added	Tham chiếu đơn được thêm	Reference formuláře přidán
srv_form_reference_deleted	Form reference deleted	Tham chiếu đơn đã bị xóa	Reference formuláře smazána
srv_form_updated	Form updated	Đơn đã được cập nhập	Formulář aktualizován
srv_forms_exist	Forms exist	Các biểu mẫu đã tồn tại	Formuláře existují
srv_invalid_action_request	Invalid action request	Yêu cầu hành động không hợp lệ	Neplatná žádost o akci
srv_invalid_address	Invalid address	Địa chỉ không hợp lệ	Neplatná adresa
srv_invalid_answer	Invalid answer	Câu trả lời không hợp lệ	Nesprávná odpověď
srv_invalid_bank	Invalid bank	Ngân hàng không hợp lệ	Neplatná banka
srv_invalid_bank_account	Invalid bank account	Tài khoản ngân hàng không hợp lệ	Neplatný bankovní účet
srv_invalid_bank_id	invalid bank ID	ID ngân hàng không hợp lệ	neplatný ID banky
srv_invalid_bill	Invalid bill	Hóa đơn không hợp lệ	Neplatná faktura
srv_invalid_business_name	invalid business name	tên công ty không hợp lệ	neplatné jméno společnosti
srv_invalid_business_type	invalid business type	thể loại kinh doanh không hợp lệ	neplatný typ obchodní činnosti
srv_invalid_city	Invalid city	Thành phố không hợp lệ	Neplatné město
srv_invalid_country	Invalid country	Quốc gia không hợp lệ	Neplatná země
srv_invalid_credentials	Invalid credentials	Sai thông tin đăng nhập	Nesprávné přihlašovací údaje
srv_invalid_date	invalid date	ngày không hợp lệ	nesprávné datum
srv_invalid_email	Invalid email	Email không hợp lệ	Neplatný email
srv_invalid_expiration	Invalid expiration	Ngày hết hạn không hợp lệ	Neplatná expirace
srv_invalid_exposure	Invalid exposure	Ngày hiệu lực không hợp lệ	Neplatný datum vystavení
srv_invalid_headers	Invalid headers	Đầu đề không hợp lệ	Neplatné záhlaví
srv_invalid_id	Invalid ID	ID không hợp lệ	Neplatné ID
srv_invalid_image_url	Invalid image URL	URL hình ảnh không hợp lệ	Nesprávný URL pro obrázek
srv_invalid_key	Invalid key	Khóa không hợp lệ	Neplatný klíč
srv_invalid_local_device	invalid local device	Thiết bị cục bộ không hợp lệ	neplatné lokální zařízení
srv_invalid_merchant	Invalid merchant	Nhà bán buôn không hợp lệ	Neplatný obchodník
srv_invalid_name	invalid name	tên không hợp lệ	neplatné jméno
srv_invalid_number	invalid number	số không hợp lệ	neplatné číslo
srv_invalid_owner	Invalid owner	Chủ sở hữu không hợp lệ	Neplatný vlastník
srv_invalid_phone	Invalid telephone	Số điện thoại không hợp lệ	Neplatný telefon
srv_invalid_plans	Invalid plans	Kế hoạch không hợp lệ	Neplatné plány
srv_invalid_postal_code	invalid postal code must be 11000 or 110 00	mã bưu điện không hợp lệ, phải là 11000 hoặc 110 00	neplatný PSČ, musí být 11000 nebo 110 00
srv_invalid_provider	Invalid provider	Nhà cung cấp không hợp lệ	Neplatný poskytovatel
srv_invalid_quantity	invalid quantity	số lương không hợp lệ	neplatné množství
srv_invalid_question	Invalid question	Câu hỏi không hợp lệ	Nesprávná otázka
srv_invalid_recaptcha	Invalid reCAPTCHA	reCAPTCHA không hợp lệ	Neplatná reCAPTCHA
srv_invalid_recaptcha_request	Invalid reCAPTCHA request	Yêu cầu reCAPTCHA không hợp lệ	Neplatná žádost reCAPTCHA
srv_invalid_refid	Invalid refID	RefID không hợp lệ	Neplatné refID
srv_invalid_request	invalid request	yêu cầu không hợp lệ	nesprávný požadavek
srv_invalid_settings	Invalid settings	Cài đặt không hợp lệ	Neplatná nastavení
srv_invalid_street	Invalid street	Đường không hợp lệ	Neplatná ulice
srv_invalid_terminal_type	invalid terminal type	loại máy trả thẻ không hợp lệ	neplatný typ platebního terminálu
srv_invalid_tin	invalid TIN	IČO không hợp lệ	neplatné IČO
srv_invalid_token	Invalid token or link expired	Mã token không hợp lệ hoặc đã hết hạn	Neplatný token nebo váš požadavek vypršel
srv_invalid_url	Invalid URL	URL không hợp lệ	Nesprávný URL
srv_invalid_username	invalid username	tên đăng nhập không đúng	nesprávné uživatelské jméno
srv_invalid_vin	invalid VIN	DIČ không hợp lệ	neplatné DIČ
srv_invalid_year	Invalid year	Năm không hợp lệ	Neplatný rok
srv_is_confirmed	Is confirmed	Đã xác nhận	Je potvrzeno
srv_items_empty	items are empty	mục trống	položky jsou prázdné
srv_leads_imported	Leads imported	Khách hàng tiềm năng đã được nhập	Zákazníci importováni
srv_location_required_to_make_attendance	location is required to make attendance	vị trí là bắt buộc để điểm danh	lokace je povinná pro zaznamenání docházky
srv_log_in_failed	Log in failed	Đăng nhập không thành công	Přihlášení se nezdařilo
srv_login_expired	login expired	đăng nhập hết hạn	přihlášení expirováno
srv_mail_send_failed	Mail send failed	Gửi thư không thành công	Odeslání e-mailu se nezdařilo
srv_mail_sent	Mail sent	Thư đã được gửi	E-mail odeslán
srv_max_ares_attempts	you have reached the maximum number of attempts. Write the data manually or start from the beginning.	bạn đã đạt đến số lần thử tối đa. Hãy viết dữ liệu theo cách thủ công hoặc bắt đầu lại từ đầu.	dosáhl(a) jste maximálního počtu pokusů. Napište data ručně nebo začněte od začátku.
srv_merchant_deleted	Merchant deleted	Thương gia đã bị xóa	Obchodník smazán
srv_merchant_not_found	Merchant not found	Không tìm thấy thương gia	Obchodník nenalezen
srv_message_sent	Message sent	Tin nhắn đã gửi	Zpráva odeslána
srv_missing	missing	thiếu	nenalezeno
srv_missing_form	missing form	thiếu đơn	chybí formulář
srv_missing_from_system	missing from system	không tìm thấy trong hệ thống	nenalezeno v systému
srv_missing_type	missing type	thiếu loại	chybí typ
srv_must_choose_store	you must choose a store	bạn phải chọn một cửa hàng	musíte vybrat provozovnu
srv_must_take_photo_of_documents	you must take photo of ID documents	quý khách phải chụp ảnh thẻ căn cước	musíte vyfotit doklady
srv_new_form_draft_deleted	New form draft deleted	Bản nháp biểu mẫu mới đã bị xóa	Koncept nového formuláře smazán
srv_new_form_draft_not_found	New form draft not found	Không tìm thấy bản nháp biểu mẫu mới	Koncept nového formuláře nenalezen
srv_no_content	No content	Không có nội dung	Žádný obsah
srv_no_data	No data	Không có dữ liệu	Žádná data
srv_no_faq	no FAQs	không có FAQs	nejsou žádné FAQs
srv_no_form_identity	No form identity	Không có danh tính biểu mẫu	
srv_no_installed	not installed	chưa được lắp đặt	není instalováno
srv_no_payment_terminal	no payment terminals	không có máy trả thẻ	není žádný platební terminál
srv_no_permission	No permission	Không có quyền truy cập	Bez oprávnění
srv_no_result_found	No result found	Không tìm thấy kết quả	Žádný výsledek nenašlo
srv_no_template_available	no template available	không có mẫu đơn sẵn	není k dispozici žádná šablona
srv_no_user_found	no user found	không tìm thấy người dùng	nebyl nalezen žádný uživatel
srv_non_negative_number	non negative number	số không được âm	nezáporné číslo
srv_not_base64	Not Base64	Không phải Base64	Není Base64
srv_not_found	not found	không tìm thấy	nenalezeno
srv_not_included	not included	không được bao gồm	nezahrnuto
srv_outside_allowed_radius	you are outside allowed location	bạn đang ở ngoài vị trí cho phép	jste mimo povolené lokace
srv_outside_working_hours	outside working hours	ngoài giờ làm việc	mimo pracovní dobu
srv_page_not_found	page not found	trang không tìm thấy	stránka nenalezena
srv_password_requirements	Password must have 8 characters, 1 uppercase, 1 lowercase and 1 number	Mật khẩu phải có ít nhất 8 ký tự, 1 chữ hoa, 1 chữ thường và 1 số	Heslo musí obsahovat alespoň 8 znaků, 1 velké, 1 malé písmeno a 1 číslici
srv_password_reset_failed	Password reset failed	Đặt lại mật khẩu không thành công	Obnovení hesla se nezdařilo
srv_password_reset_send_to_email	Password reset sent to email	Đặt lại mật khẩu gửi vào email	Obnovení hesla odesláno na email
srv_passwords_changed	passwords changed	mật khẩu đã đổi	heslo změněno
srv_passwords_not_match	Passwords do not match	Mật khẩu không khớp	Hesla se neshodují
srv_pick_software	pick a software	hãy chọn phần mềm	vyberte software
srv_plan_deleted	Plan deleted	Kế hoạch đã bị xóa	Plán smazán
srv_plan_not_found	Plan not found	Không tìm thấy kế hoạch	Plán nenalezen
srv_please_sign_document	Please sign the document	Hãy ký đơn	Podepište dokument
srv_provider_not_selected	provider is not selected	nhà phát hành không được chọn	provider is not selected
srv_reference_exists	Reference exists	Tham chiếu đã tồn tại	Reference existuje
srv_reference_not_found	Reference not found	Không tìm thấy tham chiếu	Reference nenalezena
srv_register_failed	Register failed	Đăng ký không thành công	Registrace se nezdařila
srv_register_not_found	workplace not found	không tìm thấy nơi làm việc	pracoviště nenalezeno
srv_registration_not_found	registration not found or expired	yêu cầu đăng ký không tìm thấy hoặc đã hết hạn	registrace nenalezena nebo vypršela
srv_retail_not_found	retail not found	không tìm thấy doanh nghiệp	podnik nenalezen
srv_return_to	Return to	Hãy quay lại	Vraťte se na
srv_scan_error	scan error	lỗi quét	chyba skenování
srv_scan_failed	scan failed	Lỗi quét	Chyba skenování
srv_server_error	chyba serveru	lỗi serveru	chyba serveru
srv_set_quantity	set quantity	hãy điền số lượng	zadejte množství
srv_signature_save_failed	failed to save signatures	lỗi khi lưu chữ ký	chyba při ukládání podpisu
srv_signature_saved	signatures saved	đã lưu chữ ký	podpisy uloženy
srv_signed_out	Signed out	Đã đăng xuất	Odhlášeno
srv_something_wrong	Oops, something is wrong	Oops, trang bị lỗi	Oops, výskytla se chyba
srv_start_can_not_older_than_end	start date cannot be after end date	ngày bắt đầu không thể sau ngày kết thúc	datum zahájení nemůže být pozdější než datum ukončení
srv_start_day_can_not_after_end_day	Start day cannot be after end day	Ngày bắt đầu không thể sau ngày kết thúc	Den začátku nemůže být po dni ukončení
srv_store_deleted	Store deleted	Cửa hàng đã bị xóa	Obchod smazán
srv_store_exists	Store already exists	Cửa hàng đã tồn tại	Obchod již existuje
srv_terminal_created	Terminal created	Thiết bị thanh toán đã được tạo	Terminál vytvořen
srv_terminal_deleted	Terminal deleted	Thiết bị thanh toán đã bị xóa	Terminál smazán
srv_terminal_not_found	Terminal not found	Không tìm thấy thiết bị thanh toán	Terminál nenalezen
srv_terminal_updated	Terminal updated	Thiết bị thanh toán đã cập nhật	Terminál aktualizován
srv_token_expired	Token expired	Mã thông báo đã hết hạn	Token vypršel
srv_transaction_created	Transaction created	Giao dịch đã được tạo	Transakce vytvořena
srv_transactions_checked	transactions checked	đã kiểm tra giao dịch	transakce zkontrolovány
srv_transactions_empty	transactions are empty	giao dịch trống	transakce jsou prázdné
srv_transactions_imported	transactions imported	đã nhập giao dịch	transakce nahrány
srv_unauthorized	unauthorized	không được cấp phép	neoprávněno
srv_unsupported_payment_terminal	Unsupported payment terminal	Thiết bị thanh toán không được hỗ trợ	Neexistující platební terminál
srv_updated	updated	đã được cập nhập	aktualizováno
srv_url_exists	URL exists	URL đã tồn tại	
srv_user_cannot_change_own_role	user cannot change own role	người dùng không thể đổi chức vụ của mình	uživatel nemůže změnit svou roli
srv_user_cannot_change_own_status	user cannot change own status	người dùng không thể đổi trạng thái của mình	uživatel nemůže změnit svůj status
srv_user_creation_failed	user creation failed	tạo người dùng thất bại	vytvoření uživatele selhalo
srv_user_exists	userexists	người dùng tồn tại	uživatel existuje
srv_user_has_subordinates	User has subordinates	Người dùng có cấp dưới	Uživatel má podřízené
srv_user_not_exists	user not exists	người dùng không tồn tại	uživatel neexistuje
srv_user_not_found	user not found	không tìm thấy người dùng	uživatel nenalezen
srv_user_updated	user updated	người dùng được cập nhập	uživatel aktualizován
srv_username_exists	username exists	tên người dùng tồn tại	uživatelské jméno existuje
srv_username_requirements	Username must have 6 to 20 characters, only lowercase and no space	Tên đăng nhập phải có 6 đến 20 ký tự, chữ bé, không dấu cách và ký tự đặt biệt	Heslo musí obsahovat 6 až 20 znaků, malé písmeno, bez mezer a speciálních znaků
srv_validation_error	not allowed input	nguồn vào không hợp lệ	nesprávný vstup
srv_word	Error	Lỗi	Chyba
srv_workplace_closed_today	workplace closed today	chỗ làm việc đóng cửa hôm nay	pracoviště má zavřeno dnes
srv_wrong_email_format	wrong email format	sai e-mail format	nesprávný email formát
srv_you_not_working_today	you are not working today	bạn không làm việc hôm nay	dnes nepracujete
