key	en	vi	cs
misc_over_night	Overnight	Qua đêm	Přes noc
misc_partner	partner	đối tác	partner
misc_partner_of	partner of	đối tác của	partnerem od
misc_partners	partners	đối tác	partneři
misc_password	Password	Mật khẩu	Heslo
misc_pause_not_found	pause not found	không tìm thấy tạm dừng ca	nenalezeno přerušení směny
misc_pause_shift	pause shift	tạm dừng ca làm việc	pozastavit směnu
misc_pauses	Pauses	Thời tạm ngưng	Čas přerušení
misc_payment	Payment	Thanh toán	Platba
misc_payment_method	payment method	phương thức thanh toán	platební metoda
misc_payment_terminal	payment terminal	máy trả thẻ	platební terminál
misc_payment_terminal_added	Payment terminal added	Máy trả thẻ đã tạo	Platební terminál přidán
misc_payment_terminal_deleted	Payment terminal deleted	Máy trả thẻ đã xoá	Platební terminál smazán
misc_payment_terminal_updated	Payment terminal updated	Máy trả thẻ đã cập nhập	Platební terminál aktualizován
misc_payment_terminals	payment terminals	máy trả thẻ	platební terminály
misc_pending	pending	chờ xử lý	čeká na vyřízení
misc_pending_pause	pending pause	tạm dừng ca đang chạy	probíhající přerušení směny
misc_permission_denied	permission denied	quyền truy cập bị từ chối	přístup odepřen
misc_photo	photo	ảnh	fotka
misc_pick_up_delivery_package	pick up delivery package	lấy gói hàng nhận được	vyzvednout balíček od kurýra
misc_plan	plan	gói	plán
misc_plans	plans	gói	plány
misc_please_reload_page	Please reload the page	Hãy tải lại trang	Obnovte stránku
misc_portal	Portal	Portal	Portál
misc_position	position	vị trí	pozice
misc_postal_code	Postal code	Mã bưu điện	PSČ
misc_prev_month	previous month	tháng trước	minulý měsíc
misc_previous_month	previous month	tháng trước	minulý měsíc
misc_price	price	giá	cena
misc_private_key	Private key	Khóa riêng	Soukromý klíč
misc_product_description	Product description	Mô tả sản phẩm	Popis produktu
misc_profile	Profile	Profile	Profil
misc_provider	Provider	Nhà phát hành	Zprostředkovatel
misc_provision	provision	phí hoa hồng	provize
misc_provision_april	Provision April	Hoa hồng Tháng 4	Provize Duben
misc_provision_august	Provision August	Hoa hồng Tháng 8	Provize Srpen
misc_provision_december	Provision December	Hoa hồng Tháng 12	Provize Prosinec
misc_provision_february	Provision February	Hoa hồng Tháng 2	Provize Únor
misc_provision_january	Provision January	Hoa hồng Tháng 1	Provize Leden
misc_provision_july	Provision July	Hoa hồng Tháng 7	Provize Červenec
misc_provision_june	Provision June	Hoa hồng Tháng 6	Provize Červen
misc_provision_march	Provision March	Hoa hồng Tháng 3	Provize Březen
misc_provision_may	Provision May	Hoa hồng Tháng 5	Provize Květen
misc_provision_november	Provision November	Hoa hồng Tháng 11	Provize Listopad
misc_provision_october	Provision October	Hoa hồng Tháng 10	Provize Říjen
misc_provision_rate	provision rate	tỷ lệ hoa hồng	sazba provize
misc_provision_september	Provision September	Hoa hồng Tháng 9	Provize Září
misc_public_key	Public key	Khóa công khai	Veřejný klíč
misc_purchaser	purchaser	người đăng ký	odběratel
misc_quantity	quantity	số lượng	množství
misc_quantity_shortcut	qty.	s.l.	poč.
misc_question	question	câu hỏi	otázka
misc_questions	questions	câu hỏi	otázky
misc_rate	rate	tỷ lệ	sazba
misc_real_approved	real approved	số lượng đã duyệt thực tế	reálný počet schválených
misc_real_installed	real installed	số lượng đã lắp thực tế	reálný počet instalovaných
misc_real_returned	real returned	số lượng trả lại thực tế	reálný počet vrácených
misc_real_submitted	real submitted	số lượng đã nhận thực tế	reálný počet zadaných
misc_reason	Reason	Lý do	Důvod
misc_reason_for_early_check_out	reason for early check out	lý do check out sớm	důvod pro brzké odhlášení
misc_reason_for_pause	reason for pause	lý do tạm dừng	důvod přerušení
misc_receiver	receiver	người nhận	příjemce
misc_recommended	recommended	khuyến khích	doporučeno
misc_reference	reference	kết nối	odkaz
misc_references	references	kết nối	odkazy
misc_refresh_location	refresh location	làm mới vị trí	obnovit polohu
misc_regenerate_token	regenerate token	tạo lại token	znovu generovat token
misc_regenerate_token_and_send	regenerate token and send	tạo lại token và gửi	znovu generovat token a odeslat
misc_register_instruction_1	In this section you can create or edit a workplace.	Trong phần này, bạn có thể tạo hoặc chỉnh sửa nơi làm việc.	V této sekci můžete vytvořit nebo upravit pracoviště.
misc_registration	Registration	Đăng ký	Registrace
misc_registration_instructions	Registration instructions	hướng dẫn đăng ký	instrukce registrace
misc_registration_instructions_1	the fastest way to register is by scanning the QR code.	Cách nhanh nhất để đăng ký là quét mã QR.	Nejrychlejší způsob registrace je skenování QR kódu.
misc_registration_instructions_2	You can also register manually by entering the server url and the token from your employer.	Một cách khác là đăng ký thủ công bằng cách nhập URL máy chủ và mã token từ nhà tuyển dụng.	Můžete se také zaregistrovat ručně zadáním adresy serveru a tokenu od svého zaměstnavatele.
misc_registration_instructions_3	after registration verified, you will be navigated to registration form, where you can fill in your personal information.	Sau khi xác minh đăng ký, bạn sẽ được chuyển đến mẫu đăng ký, nơi bạn có thể điền thông tin cá nhân của mình.	Po ověření registrace budete přesměrováni na registrační formulář, kde můžete vyplnit své osobní údaje.
misc_registration_instructions_4	after filling in the form, your device will be registered.	Sau khi điền vào mẫu, thiết bị của bạn sẽ được đăng ký.	Po vyplnění formuláře bude vaše zařízení registrováno.
misc_registration_successful	Registration successful	Đăng ký thành công	Potvrzení registrace
misc_registration_token	Registration token	mã đăng ký	registrační token
misc_remove	remove	xoá	odstranit
misc_remove_item	Remove item	Xoá mục	Odstranit položku
misc_renew_password	Renew password	Khôi phục mật khẩu	Obnova hesla
misc_required	Required	Cần thiết	Požadováno
misc_rescan	rescan	quét lại	znovu naskenovat
misc_resend_mail	resend email	gửi lại email	znovu poslat email
misc_responsible_person	responsible person	người chịu trách nhiệm	zodpovědná osoba
misc_restaurant	restaurant	nhà hàng	restaurace
misc_result	result	kết quả	výsledek
misc_results_2nd	results	kết quả	výsledků
misc_retail_edit	Edit retail	Chỉnh sửa doanh nghiệp	Správa podniku
misc_retail_store	retail store	cửa hàng bán lẻ	maloobchod
misc_retry	retry	thử lại	opakovat
misc_returned	returned	trả lại	vráceno
misc_returned_date	Returned date	Ngày trả lại	Den vrácení
misc_role	Role	Chức vụ	Role
misc_row	row	hàng	řádek
misc_rows_per_page	Rows per page	Hàng trên trang	Řádků na stránku
misc_running_break	Running break	Thời gian nghỉ hiện tại	Probíhající přestávka
misc_running_pause	Running pause	Thời gian tạm ngừng	Probíhající přerušení
misc_same_store	same store	cùng một cửa hàng	stejný obchod
misc_save	Save	Lưu	Uložit
misc_save_and_back	Save and back	Lưu và trở lại	Uložit a zpět
misc_save_and_send	Save and send	Lưu và gửi	Uložit a poslat
misc_save_changes_first	save changes first	lưu thay đổi trước	uložte nejprve změny
misc_save_draft	save draft	lưu nháp	uložit koncept
misc_save_merchant	save new merchant	lưu nhà bán buôn mới	uložit nového obchodníka
misc_save_shifts	save shifts	lưu ca làm việc	uložit směny
misc_save_signature	save signature	lưu chữ ký	uložit podpis
misc_save_transactions	save transactions	lưu giao dịch	uložit transakce
misc_save_workplaces	save workplaces	lưu nơi làm việc	Uložit pracoviště
misc_scanning_local_devices	scanning for local devices	đang quét thiết bị cục bộ	skenování lokálních zařízení
misc_searched	searched	tìm	vyhledávaný
misc_select_all	select all	chọn tất cả	vybrat vše
misc_selected	selected	đã chọn	vybráno
misc_send	send	gửi	odeslat
misc_send_addition_mail	send addition mail	gửi mail thêm chi tiết	poslat email pro doplnění
misc_send_mail	send e-mail	gửi e-mail	poslat e-mail
misc_send_upload_signed_mail	Send email to sign	Gửi email để ký	Poslat email pro podpis
misc_sent	sent	đã gửi	odesláno
misc_service	service	dịch vụ	služby
misc_settings	Settings	Cài đặt	Nastavení
misc_settings_instructions	settings instructions	hướng dẫn cài đặt	instrukce nastavení
misc_settings_instructions_1	add workplace domains here.	Thêm miền nơi làm việc ở đây.	Přidejte sem domény pracoviště.
misc_settings_instructions_2	You can change the language of the app.	Bạn có thể thay đổi ngôn ngữ của ứng dụng.	Můžete změnit jazyk aplikace.
misc_settings_instructions_3	You can change the theme of the app.	Bạn có thể thay đổi giao diện của ứng dụng.	Můžete změnit téma aplikace.
misc_settings_instructions_4	You can enable biometric authentication.	Bạn có thể bật xác thực sinh trắc học.	Můžete povolit biometrickou autentizaci.
misc_setup_urls	set up URLS	cài đặt URL	nastavit URL
misc_shift	Shift	Ca	Směna
misc_shift_details	Shift details	Chi tiết ca làm việc	Podrobnosti o směně
misc_shift_ending_soon_at	shift ending soon at	ca làm việc sắp kết thúc tại	směna končí brzy v
misc_shift_pause_successfully	shift pause successfully	tạm dừng ca thành công	přerušení směny úspěšné
misc_shift_time	Shift time	Giờ làm việc	Pracovní doba
misc_shifts	Shifts	Ca	Směny
misc_shortcut	shortcut	viết tắt	zkratka
misc_show	show	hiển thị	zobrazit
misc_show_on_website	show on website	hiển thị trên trang web	zobrazit na webovou stránku
misc_showed	showed	hiển thị	zobrazeno
misc_signed_documents	signed documents	tài liệu đã ký	podepsané dokumenty
misc_since_last_month	since last month	từ tháng trước	od minulého měsíce
misc_since_started	since started	kể từ khi bắt đầu	od začátku
misc_since_the_end	Since the end	Từ lúc kết thúc	Od konce
misc_software	Software	Phần mềm	Software
misc_software_name	Software name	Tên phần mềm	Název softwaru
misc_sort_by	Sort by	Xếp theo	Seřadit podle
misc_specific_breaks	Specific breaks	Thời gian nghỉ cụ thể	Specifické přestávky
misc_start_in	start in	bắt đầu sau	bude zahájeno za
misc_start_time	start time	thời gian bắt đầu	čas zahájení
misc_starts_in	starts in	bắt đầu sau	bude zahájeno za
misc_status	Status	Tình trạng	Stav
misc_status_updated	status updated	trạng thái đã được cập nhập	status aktualizován
misc_store	Store	Cửa hàng	Provozovna
misc_store_added	Store added	Cửa hàng đã được thêm	Provozovna přidána
misc_store_address	Store address	Địa chỉ cửa hàng	Adresa obchodu
misc_store_deleted	Store deleted	Cửa hàng đã được xoá	Provozovna odstraněna
misc_store_error	store error	lỗi cửa hàng	chyba obchodu
misc_store_name	Store name	Tên cửa hàng	Název provozovny
misc_store_updated	Store updated	Cửa hàng đã được cập nhập	Provozovna aktualizována
misc_stores	stores	cửa hàng	provozovny
misc_stores_list	Stores list	Danh sách cửa hàng	Seznam provozoven
misc_stores_shortcut	stores	cửa hàng	prov.
misc_street	Street	Đường	Ulice
misc_submit	Submit	Gửi	Odeslat
misc_submit_break	submit break	gửi đơn nghỉ	odeslat přestávku
misc_submitted	submitted	đã nhận	zadáno
misc_summary	summary	tổng kết	shrnutí
misc_supervisor	supervisor	cấp trên	vedoucí
misc_supervisor_email	Supervisor's e-mail	E-mail cấp trên	E-mail nadřízeného
misc_supplier	supplier	nhà cung cấp	dodavatel
misc_supported_extensions	supported extensions	loại tệp hỗ trợ	podporované typy souboru
misc_table_columns	table columns	cột bảng	sloupce tabulky
misc_take_document_photo	take ID documents photo	chụp ảnh thẻ căn cước	vyfotit ID dokumenty
misc_taxpayer	taxpayer	người trả thuế	plátce DPH
misc_technical_support	technical support	hỗ trợ kỹ thuật	technická podpora
misc_telephone	Telephone	Số điện thoại	Telefon
misc_telephones	Telephones	Số điện thoại	Telefony
misc_template	template	mẫu	šablona
misc_templates	templates	mẫu	šablony
misc_terminal_esim_desc	Fee 50 CZK per month	Phí 50 CZK mỗi tháng	Poplatek 50Kč měsíčně
misc_terminal_esim_name	eSIM terminal	Máy trả thẻ eSIM	eSIM terminál
misc_terminal_fee	terminal rental fees	phí thuê máy trả thẻ	poplatky za pronájem terminálu
misc_terminal_id	terminal ID	ID máy	ID terminálu
misc_terminal_lan_desc	Ethernet (LAN) connection	Kết nối mạng LAN (Ethernet)	Ethernet (LAN) připojení
misc_terminal_lan_name	Stationary terminal	Máy trả thẻ cố định	Stacionární terminál
misc_terminal_name	terminal name	tên máy trả thẻ	název terminálu
misc_terminal_rental	terminal rental	thuê máy	pronájem terminálu
misc_terminal_type	terminal type	loại máy trả thẻ	typ terminálu
misc_terminal_wifi_desc	Wifi connecttion	Kết nối Wifi	Wifi připojení
misc_terminal_wifi_name	Mobile terminal	Máy trả thẻ di động	Mobilní terminál
misc_test_mode	Test mode	Test mode	Testovací režim
misc_this_month	this month	tháng hiện tại	tento měsíc
misc_this_will_unpair_current_device	this will unpair current device	điều này sẽ hủy ghép nối thiết bị hiện tại	aktuální zařízení bude odpojeno
misc_time_left	time left	thời gian còn lại	zbývající čas
misc_tin	TIN	IČO	IČO
misc_tin_changed	TIN changed	Đổi IČO	Změna IČO
misc_title	title	bằng cấp	titul
misc_to_change_password	Change password	Đổi mật khẩu	Změnit heslo
misc_to_login	Login	Đăng nhập	Přihlásit se
misc_to_logout	Logout	Đăng xuất	Odhlásit se
misc_to_recover_password	Recover password	Khôi phục mật khẩu	Obnovte heslo
misc_to_register	Register	Đăng ký	Registrovat
misc_to_search	Search	Tìm	Vyhledávat
misc_to_start	Start	Bắt đầu	Zahájit
misc_today	today	hôm nay	dnes
misc_today_closed	today closed	hôm nay đóng	dnes zavřeno
misc_token	token	mã token	token
misc_total	Total	Tổng	Celkem
misc_total_attendances	Total attendances	Tổng số điểm danh	Celkový počet docházek
misc_total_days	Total days	Tổng số ngày	Celkový počet dní
misc_total_expected_shifts	Total expected shifts	Tổng số ca làm việc mong đợi	Celkový počet očekávaných směn
misc_total_price	total price	tiền tổng	celková částka
misc_total_shifts	Total shifts	Tổng ca làm việc	Totální směny
misc_total_working_minutes	Total working minutes	Tổng số phút làm việc	Celkový počet pracovních minut
misc_transaction_fee	transaction fees	phí giao dịch	poplatky za transakce
misc_transactions	transactions	giao dịch	transakce
misc_transfer_fee	transfer fees	phí chuyển khoản	poplatky za převod
misc_true	true	đúng	správně
misc_turnover	turn over	doanh thu	obrat
misc_type	Type	Loại	Typ
misc_unable_to_open_settings	unable to open settings	không thể mở cài đặt	není možné otevřít nastavení
misc_unavailable	unavailable	không có sẵn	nedostupný
misc_unconfirmed	unconfirmed	chưa xác nhận	nepotvrzeno
misc_undefined	undefined	chưa xác định	nedefinováno
misc_unlock	unlock	mở khoá	odemknout
misc_unpaired	unpaired	chưa ghép nối	nepárováno
misc_unsent	unsent	chưa gửi	neposláno
misc_unsigned_documents	unsigned documents	tài liệu chưa ký	nepodepsané dokumenty
misc_until_the_end	Until the end	Đến cuối cùng	Do konce
misc_untitled	untitled	chưa điền	nezadáno
misc_upcoming_shift_at	upcoming shift at	ca làm việc sắp tới tại	nadcházející směna v(e)
misc_update	Update	Cập nhập	Aktualizovat
misc_update_available_text	Update available!	Đã có bản cập nhật mới!	Dostupná aktualizace!
misc_update_now	Update now	Cập nhập ngay	Celková aktualizace
misc_update_payment_terminal	Update payment terminal	Cập nhập máy trả thẻ	Aktualizovat platební terminál
misc_update_store	Update store	Cập nhập cửa hàng	Aktualizovat provozovnu
misc_updated	updated	đã cập nhập	aktualizováno
misc_updated_successfully	Updated successfully	Cập nhập thành công	Úspěšně aktualizováno
misc_upload	upload	tải lên	nahrát
misc_upload_mail_sent	email for signature sent	Gửi email để ký	Email pro podpis odeslán
misc_upload_photos	upload photos	tải lên ảnh	nahrát fotky
misc_upload_signed_documents	Uploading signed documents	Tải lên tài liệu đã ký	Nahrávání podepsaných dokumentů
misc_upload_unsigned_form	Upload unsigned form	Tải lên mẫu đơn chưa ký	Nahrát nepodepsaný dokument
misc_url_already_added	This URL has already been added	URL này đã được thêm vào	Tento URL již byl přidán
misc_use_map_picker	by using the map picker	bằng cách chọn trên bản đồ	běžným výběrem z mapy
misc_user	User	Nhân viên	Uživatel
misc_user_has_zero_provision	user has zero provision	người dùng có hoa hồng bằng 0	uživatel má nulovou provizi
misc_user_support	user support	hỗ trợ khách hàng	uživatelská podpora
misc_username	Username	Tên đăng nhập	Přihlašovací jméno
misc_users	Users	Người dùng	Uživatele
misc_valid	valid	hợp lệ	validní
misc_value	value	giá trị	hodnota
misc_vin	VIN	DIČ	DIČ
misc_visit_doctor	visit doctor	đi khám bác sĩ	navštívit lékaře
misc_want_to_continue	do you want to continue	bạn có muốn tiếp tục không	chcete pokračovat
misc_website	website	trang web	webová stránka
misc_working_at	working at	làm việc tại	pracuje v
misc_working_employees	working employees	nhân viện làm việc	pracující zaměstnanci
misc_working_hour	working hour	thời gian làm việc	pracovní doba
misc_working_hour_of_the_workplace	working hour of the workplace	Giờ làm việc của nơi làm việc	Pracovní doba pracoviště
misc_working_hours	working hours	thời gian làm việc	pracovní doba
misc_working_hours_by_employee	working hours by employee	Giờ làm việc theo nhân viên	počet odpracovaných hodin zaměstnanců
misc_working_time_will_be_reduced	working time will be reduced	thời gian làm việc sẽ bị giảm	počet odpracovaných hodin bude zkrácen
misc_working_time_will_be_reduced_if_exceed_allowed_duration	working time will be reduced if exceed allowed duration	thời gian làm việc sẽ bị giảm nếu vượt quá thời gian cho phép	počet odpracovaných hodin bude zkrácen, pokud překročí povolenou dobu
misc_workplace	workplace	nơi làm việc	pracoviště
misc_workplace_breaks	Workplace breaks	Thời gian nghỉ của nơi làm việc	Přestávky pracoviště
misc_workplace_custom_breaks	Custom breaks	Thời gian nghỉ tùy chỉnh	Vlastní přestávky
misc_workplace_working_hours	Working hours	Giờ làm việc	Pracovní doba
misc_workplaces	workplaces	nơi làm việc	pracoviště
misc_workplaces_list_instructions	workplaces list instructions	hướng dẫn danh sách nơi làm việc	instrukce seznamu pracovišť
misc_workplaces_list_instructions_1	You can check the list of workplaces.	Bạn có thể kiểm tra danh sách nơi làm việc.	Můžete zkontrolovat seznam pracovišť.
misc_workplaces_list_instructions_2	You can check your followings shifts at specific workplace.	Bạn có thể kiểm tra ca làm việc của mình tại nơi làm việc cụ thể.	Můžete zkontrolovat své následující směny na konkrétním pracovišti.
misc_workplaces_list_instructions_3	by clicking the button of top right corner, you can unpair the device with that workplace.	Bằng cách nhấn nút ở góc trên bên phải, bạn có thể hủy ghép nối thiết bị với nơi làm việc đó.	Kliknutím na tlačítko v pravém horním rohu můžete zrušit párování zařízení s tímto pracovištěm.
misc_year	year	năm	rok
misc_yes	yes	có	ano
misc_you_have_no_shift_assigned	you have no shift assigned	bạn chưa được phân ca	ještě nemáte přidělený směn
misc_you_must_register_device	you must register your device	bạn phải đăng ký thiết bị này	musíte registrovat toto zařízení
misc_you_will_not_see_workplace_until_add_again	you will not see the workplaces until you add URL again	bạn sẽ không nhìn thấy nơi làm việc cho đến khi bạn thêm lại URL	neuvidíte pracoviště, dokud znovu nepřidáte URL
misc_your_shift_start_at	Your shift start at	Ca làm việc của bạn bắt đầu vào lúc	Vaše směna začíná v(e)
msg_accept_agreements	Accept agreements	Đồng ý với điều khoản sử dụng	Souhlasíte s podmínky
msg_actual_phase	Actual phase	Quá trình hiện tại	Aktuální fáze
msg_added	Added	Đã thêm	Přidáno
msg_applied_changes	Applied changes	Áp dụng thay đổi	Použité změny aplikovány
msg_break_info	set breaks for an individual day, it will be used for employees and will not count towards working hours	thiết lập giờ nghỉ giải lao cho nhân viên vào từng ngày, giờ nghỉ giải lao sẽ không tính vào giờ làm việc	nastavit přestávky pro jednotlivé dny, budou použity pro zaměstnance a nebudou započítány do pracovní doby.
msg_cancelled	Cancelled	Đã huỷ	Zrušeno
msg_check_merchant_explanation	You import a list of TINs with provider and then select the providers you expect to be checked. The system will compare the entries with INSTALLED status and display the merchants that were expected to be in selected providers but are not listed.	Bạn nhập danh sách IČ với các nhà cung cấp rồi chọn nhà cung cấp mà bạn muốn được kiểm tra. Hệ thống sẽ so sánh các mục nhập với tình trạng ĐÃ LẮP ĐẶT và hiển thị những người bán dự kiến ​​sẽ có mặt trong các nhà cung cấp được chọn nhưng không được liệt kê.	Naimportujete seznam IČ s poskytovatelem a poté vyberete poskytovatele, u kterých očekáváte kontrolu. Systém porovná záznamy se statusy INSTALOVÁNO a zobrazí obchodníky, kteří měli být u vybraných poskytovatelů, ale nejsou v seznamu uvedeni.
msg_confirmed	Confirmed	Đã xác nhận	Potvrzeno
msg_control_typed_field	Check filled fields	Kiểm tra ô đã điền	Zkontrolujte vyplněné údaje!
msg_do_not_have_account	Don't have an account	Bạn chưa có tài khoản	Nemáte účet
msg_email_registered	Email is registered	Email đã được đăng ký	Email je již používán
msg_finished	Finished	Đã hoàn thành	Dokončeno
msg_from	From	Từ	Od
msg_have_forgotten_password	Don't remember password	Bạn đã quên mật khẩu	Zapoměl(a) jste heslo
msg_ico_registered	IČO is registered	IČO đã được đăng ký	IČO je již registrováno
msg_if_account_exists	You will receive an email if the account exists	Nếu tài khoản tồn tại, bạn sẽ nhận được email	Pokud účet existuje, obdržíte e-mail
msg_is_deactive	Deactive	Không kích hoạt	Neaktivní
msg_make_sure_image_not_blur_and_centered	make sure the photo is centered and not blurry	hãy chắc chắn là ảnh nằm ngay giữa và không mờ	ujistěte se, že fotka je vycentrovaná a není rozmazaná
msg_maturity_period_info	specifies the time range when the employee can use the break time	xác định khoảng thời gian khi nhân viên có thể sử dụng thời gian nghỉ trưa	určuje časový rozsah, kdy zaměstnanec může využít přestávku
msg_must_add_email	you must add email	bạn phải nhập email	musíte zadat email
msg_must_add_unsigned_form	You must upload unsigned form	Bạn chưa tải lên mẫu đơn chưa ký	Musíte nahrát nepodepsaný formulář
msg_not_decided	Undecided	Chưa quyết định	Nerozhodnuto
msg_number_short	num.	số	č.
msg_only_send_when_no_bank_or_terminal_choosed	Only send this E-mail if customer did not apply a bank account or terminal details	Chỉ gửi E-mail này khi khách hàng chưa thêm tài khoản ngân hàng hoặc chưa chọn máy trả thẻ	Tento E-mail posílejte jen v případě, že zákazník nezadal bankovní účet nebo nevybral si terminál
msg_or	or	hoặc	nebo
msg_password_change_success	Password successfully changed	Mật khẩu đã đổi thành công	Heslo úspěšně změněno
msg_please_choose_item	Please choose an item	Hãy chọn một món	Vyberte si položku
msg_really_want_to_add	Do you really want to add	Bạn thật sự muốn thêm	Opravdu chcete přidat
msg_really_want_to_change	Do you really want to change	Bạn thật sự muốn đổi	Opravdu chcete změnit
msg_really_want_to_change_status	Do you really want to change status	Bạn thật sự muốn đổi trạng thái	Opravdu chcete přepnout status
msg_really_want_to_confirm	Do you really want to confirm	Bạn thật sự muốn xác nhận	Opravdu chcete potvrdit
msg_really_want_to_delete	Do you really want to delete	Bạn thật sự muốn xoá	Opravdu chcete smazat
msg_really_want_to_remove	Do you really want to remove	Bạn thật sự muốn huỷ	Opravdu chcete odstranit
msg_really_want_to_send	Do you really want to send	Bạn thật sự muốn gửi	Opravdu chcete poslat
msg_registration_form	Registration form	Đơn đăng ký	Registrační formulář
msg_request_sent	Request sent	Yêu cầu đã được gửi	Požadavek poslán
msg_select_template	select template	hãy chọn mẫu	vyberte šablonu
msg_take_back_side_of_document	take a photo of the back of the document	chụp mặt sau của thẻ căn cước	vyfoťte zadní stranu dokladu
msg_take_front_side_of_document	take a photo of the front of the document	chụp mặt trước của thẻ căn cước	vyfoťte přední stranu dokladu
msg_to	To	Đến	Do
msg_to_check_email	Check your email	Hãy kiểm tra email	Zkontrolujte email
msg_to_refresh_page	Refresh page	Tải lại trang	Obnovte stránku
msg_update_successfully	Update successfully	Cập nhập thành công	Úspěšně aktualizováno
msg_vin_required_for_taxpayer	VIN is required for taxpayer	Số thuế VIN là bắt buộc cho người trả thuế	DIČ je povinné pro plátce DPH
msg_welcome	Welcome to	Chào mừng bạn đến	Vítáme Vás v
msg_you_can_not_revert	Once changed, you can not revert	Một khi đã đổi, bạn không thể chuyển lại	Jakmile přepnete, nemůžete znovu přepnout
srv_address_required	Address is required	Địa chỉ là bắt buộc	Pole adresa je povinné
srv_address_updated	Address updated	Địa chỉ đã được cập nhật	Adresa aktualizována
srv_already_checked_out	already checked out	bạn đã check out	odchod byl již zaznamenán
srv_already_confirmed	Already confirmed	Đã xác nhận	Již potvrzeno
srv_already_sent	Already sent	Đã gửi	
srv_ares_failed	ARES failed	ARES không thành công	ARES selhalo
srv_assigned_form_not_found	Assigned form not found	Không tìm thấy biểu mẫu được chỉ định	Přidělený formulář nenalezen
srv_attendance_already_exists	Attendance already exists	Dữ liệu điểm danh đã tồn tại	Dohled již existuje
srv_attendance_not_found	attendance not found	Không tìm thấy dữ liệu điểm danh	Docházka nenalezena
srv_authentication_failed	authentication failed	xác thực không thành công	autentizace selhala
srv_authentication_required	authentication required	cChứng thực cần thiết	požadována autentizace
srv_bad_request	Bad request	Yêu cầu không hợp lệ	Špatný požadavek
srv_bank_not_found	Bank not found	Không tìm thấy ngân hàng	Banku nelze nalézt
srv_bank_updated	bank updated	đã cập nhập ngân hàng	banka aktualizována
srv_bill_confirmed	bill confirmed	hoá đơn đã được xác nhận	faktura potvrzena
srv_bill_deleted	Bill deleted	Hóa đơn đã bị xóa	Faktura smazána
srv_bill_not_found	Bill not found	Không tìm thấy hóa đơn	Faktura nenalezena
srv_bill_sent	Bill sent	Đã gửi hóa đơn	Faktura odeslána
srv_bill_updated	Bill updated	Hóa đơn đã cập nhật	Faktura aktualizována
srv_biometric_disabled	Biometric permissions disabled	Quyền truy cập bảo mật trắc học bị vô hiệu	Oprávnění použití biometrie je zakázáno
srv_biometric_permissions_disabled	Biometric permissions disabled	Quyền truy cập bảo mật trắc học bị vô hiệu	Oprávnění použití biometrie je zakázáno
srv_biometric_required	Biometric required	Mở khoá trắc học cần thiết	Biometrická autentizace je povinná
srv_bluetooth_permission_not_granted	Bluetooth permission not granted	quyền sử dụng Bluetooth không được cấp	povolení k použití Bluetooth nebylo uděleno
srv_break_already_finished	Break already finished	Thời gian nghỉ đã kết thúc	Přestávka již skončila
srv_break_finished_successfully	break finished successfully	kết thúc nghỉ thành công	přestávka úspěšně ukončena
srv_break_id_required	Break ID is required	ID nghỉ là bắt buộc	ID přestávky je povinný
srv_break_not_found	Break not found	Không tìm thấy thời gian nghỉ	žádná přestávka nenalezena
srv_break_out_of_working_hours	break out of working hours	ngoài giờ làm việc	přestávka mimo pracovní dobu
srv_break_started_successfully	break started successfully	bắt đầu nghỉ thành công	přestávka úspěšně zahájena
srv_can_not_after_today	Cannot be after today	Không thể sau hôm nay	Nemůže být po dnešním dni
srv_can_not_self_reference	Cannot make self reference	Không được tạo liên kết lên cùng đơn	Nelze vytvořit odkaz na sebe
srv_canceled_by_user	cancelled by user	huỷ bởi người dùng	zrušeno uživatelem
srv_checked_in_successfully	checked in successfully	đã check in thành công	příchod úspěšný
srv_checked_ou_successfully	check out successfully	check out thành công	odchod úspěšně zaznamenán
srv_checked_out_successfully	checked out successfully	đã check out thành công	odchod úspěšný
srv_city_length	City must have at most 255 characters	Thành phố phải có tối đa 255 ký tự	Město může mít maximálně 255 znaků
srv_city_max_length	City must have at most 255 characters	Thành phố phải có tối đa 255 ký tự	Město může mít maximálně 255 znaků
srv_close_time_before_open_time	close time is before open time	thời gian kết thúc trước thời gian bắt đầu	čas ukončení je před časem otevření
srv_config_deleted	Config deleted	Cài đặt đã bị xóa	Konfigurace smazána
srv_config_not_found	Config not found	Cài đặt không tìm thấy	Konfigurace nenalezena
srv_config_updated	Config updated	Cài đặt đã được cập nhập	Konfigurace aktualizována
srv_confirm_password_required	Confirm password is required	Xác nhận mật khẩu là bắt buộc	Potvrzení hesla je povinné
srv_control_typed_field	check fields	kiểm tra ô điền	zkontrolujte políčka
srv_created	created	đã được tạo	vytvořeno
srv_daily_attendance_not_found	daily attendance not found	Không tìm thấy dữ liệu điểm danh	Denní docházka nenalezena
srv_date_can_not_be_in_future	date can not be in future	Ngày không thể ở tương lai	datum nemůže být v budoucnosti
srv_device_already_registered	device already registered	thiết bị đã được đăng ký	zařízení je již registrováno
srv_device_not_found	device not found	không tìm thấy thiết bị	zařízení nenalezeno
srv_device_pairing_cancellation_failed	device pairing cancellation failed	đã hủy ghép nối thiết bị thất bại	zrušení párování zařízení selhalo
srv_device_unregistered	Device unregistered	Thiết bị đã hủy đăng ký	Zařízení odregistrováno
